compound_id,standard_inchi_key,compound_name,bioactivities
CHEMBL379300,YWTBGJGMTBHQTM-IBGZPJMESA-N,A-443654,333
CHEMBL1081312,NVRXTLZYXZNATH-UHFFFAOYSA-N,SID103904782,306
CHEMBL428496,QDLHCMPXEPAAMD-QAIWCSMKSA-N,WORTMANNIN,305
CHEMBL14762,BTIHMVBBUGXLCJ-OAHLLOKOSA-N,ROSCOVITINE,303
CHEMBL37493,NHBMKTBZZSJUGA-HEHNFIMWSA-N,MEK INHIBITOR I,288
CHEMBL1614707,ZTFBIUXIQYRUNT-MDWZMJQESA-N,MUBRITINIB,288
CHEMBL2397013,ZUDPNBZMAJGYTE-HYMQDMCPSA-N,JAK3 INHIBITOR VI,288
,DZFBYHUKZSRPHU-UHFFFAOYSA-N,P38 MAP KINASE INHIBITOR,286
CHEMBL538798,NJTUORMLOPXPBY-UHFFFAOYSA-N,ZM39923,285
CHEMBL289422,OTPNDVKVEAIXTI-IYBDPMFKSA-N,SB218078,285
CHEMBL1090090,FYSRKRZDBHOFAY-UHFFFAOYSA-N,VX702,284
,CZLAVTVAKSRTIS-UHFFFAOYSA-N,TBCA,283
CHEMBL261641,FPYJSJDOHRDAMT-KQWNVCNZSA-N,SU11274,283
,SVKSJUIYYCQZEC-UHFFFAOYSA-N,AKT INHIBITOR X,283
,XPLJEFSRINKZLC-UHFFFAOYSA-N,SU11652,283
,LDEWQRSYYHTQRA-UHFFFAOYSA-N,INDIRUBIN-3?-MONOXIME,282
,CKLAPOFDFZKCPB-UHFFFAOYSA-N,IDR E804,281
CHEMBL88606,RFHPWPWVGFSLOP-ZROIWOOFSA-N,VEGFR2 KINASE INHIBITOR II,281
,ICGRNBQHIVMSMS-UHFFFAOYSA-N,AR-1K4643,280
CHEMBL126343,ORADFQZOLNHWRQ-UHFFFAOYSA-N,ALOISINE; RP106,280
,ORWSYHWTBSHFIV-ICFOKQHNSA-N,GSK-3 INHIBITOR X,279
,VQNCIRRXQQTXEL-UHFFFAOYSA-N,RGB-286147,279
,GKHALFDSNCYVOW-UHFFFAOYSA-N,GNF-2,278
CHEMBL26501,FXGHOAZJQNLNFD-KRWDZBQOSA-N,RO-32-0432,277
CHEMBL261237,JLOXTZFYJNCPIS-FYWRMAATSA-N,SL327,276
,AYIIQABSVDIZSY-UHFFFAOYSA-N,ALOISINE A,274
CHEMBL130321,RJVLFQBBRSMWHX-UHFFFAOYSA-N,KN62,272
,IYOZTVGMEWJPKR-VOMCLLRMSA-N,Y-27632,267
CHEMBL1591330,KOZFSFOOLUUIGY-UHFFFAOYSA-N,K-252A,266
,FIKDMAZMOIQHOO-UHFFFAOYSA-N,AG-G-60025,262
CHEMBL1835714,BTUOOXPZOVNPMF-UHFFFAOYSA-N,SB505124,258
,MYKOWOGZBMOVBJ-UHFFFAOYSA-M,STO609,257
CHEMBL1240885,UQPMANVRZYYQMD-UHFFFAOYSA-N,MNK1 INHIBITOR,248
CHEMBL258893,WEEFNMFMNMASJY-UHFFFAOYSA-M,CHELERYTHRINE,242
CHEMBL7064,ACPOUJIDANTYHO-UHFFFAOYSA-N,PYRAZOLEANTHRONE,234
CHEMBL1233882,GEZALMMCQYDFML-UHFFFAOYSA-N,,234
CHEMBL1233881,ITOYZJGFTNTKKR-UHFFFAOYSA-N,,233
CHEMBL1241578,ZLMVXCGWUJXFNP-UHFFFAOYSA-N,,233
,NFDQHCCABRRTFB-XJCLVHIMSA-N,H-1152; GLYCYL,227
,LOGJQOUIVKBFGH-MHWRWJLKSA-N,SU6656,223
CHEMBL1642,YLMAHDNUQAMNNX-UHFFFAOYSA-N,IMATINIB,223
,LCACSMNPIITJGG-UHFFFAOYSA-N,SYK INHIBITOR II,219
CHEMBL249097,SFCBIFOAGRZJNX-UHFFFAOYSA-N,,213
CHEMBL306380,ZVPDNRVYHLRXLX-UHFFFAOYSA-N,SID26756735,210
CHEMBL1684662,CDVMXMZPDJHSCC-UHFFFAOYSA-N,,207
CHEMBL1684543,DWXFUBUNKOCZDN-UHFFFAOYSA-N,,207
CHEMBL1684654,LONFMYCCPGGOAF-UHFFFAOYSA-N,,207
CHEMBL1230790,MWYBBCLGEHZSCP-UHFFFAOYSA-N,,207
,NJNKPVPFGLGHPA-UHFFFAOYSA-N,SB202190,207
CHEMBL1684525,SXWKGTHRKXOKPB-UHFFFAOYSA-N,,207
CHEMBL1234815,UOKGZPYGRJDACN-UHFFFAOYSA-N,,206
CHEMBL514409,GLDSKRNGVVYJAB-DQSJHHFOSA-N,HESPERADIN,205
